Unnamed: 0,Airline Name,Overall_Rating,Review_Title,Review
4897,avelo airlines,1,customer service is inadequate,if you ever have to cancel your flight they will conveniently lose your travel funds and youll never see them again i spent countless hours sending them the proof that they owed me travel funds and they just said that they couldnt find them and that it was the customers responsibility to keep track what a joke i sent everything that they had sent me how can i give them travel funds numbers to research whats owed to me if they never gave them to me in the first place customer service is inadequate and in accurate and they do not care if you are owed if they say they cannot locate your travel funds on their end it then you lose i will never ever fly avelo airlines again and if i am asked by anyone in my area how i like them i will always tell them the full story
2871,air seychelles,8,air seychelles customer review,cdgsezcdg good flight with b767300er the aircraft has a nice blue relaxing interior in pearl class and service was okay inflight entertainment system very simple and not very good cabin crew good and replying on anyones request food was better than expected seat was comfortable but not electronic powered i heard air seychelles is going to have a new ife and lie flat beds later in june
9345,fiji airways,9,i loved flying fiji airways,los angeles to sydney via nadi i loved flying fiji airways and i think it is absolutely value for money at the time i bought my return ticket sydney lax fiji airways was about 3040 cheaper than its competitors united qantas etc some reviews made me a bit hesitant to fly fiji airways but i am glad that i did the online checkin was easy and their ground personnel at the baggage drop counter was friendly and helpful also the boarding went smooth and all four flights i had departed on time on one of my flights just before takeoff a steward came to me and asked me whether i preferred to move to another seat that had an empty seat next to it because of my height 6 foot 6195 m i think this was very kind of him and in general i found the stewards on board very friendly and willing to help the food and the inflight entertainment was alright it may not be as fancy or shiny as the food and entertainment you get at huge airlines like emirates or qatar but for the money it was good value for the meals you had a vegetarian and nonvegetarian option and the inflight entertainment was sufficient again emirates may have a 150 movies to choose from and fiji only 30 but you cant watch them all anyway also the seats were fine and just like any other company besides maybe the more luxurious a380 seats i would really like to recommend fiji airways to fly with if you want a good value for money dont expect too much luxury but expect very friendly personnel food entertainment and seats that do the job and a company that brings you from a to b for 6070 of the price of their competitors
6456,caribbean airlines,8,caribbean airlines customer review,the lounge at jfk terminal 4 is well appointed and nicely laid out with a decent selection of drinks and food boarding was punctual we were seated in 1a and 1c a soft drink was offered before takeoff seats were leather and old style first class with adequate leg room shortly after takeoff we were offered drinks mot and chandon champagne and nuts caribbean airlines now offer you the chance to preorder your meal and i had chosen a tiger prawn masala with a vegetarian biryani for my partner without a doubt these were two of the best airline meals we have tasted drinks were topped up throughout the flight by crew who were delightful chatty pleasant and a pleasant change from the norm our saturday night flight landed 30 minutes early and we left relaxed and pleased with our choice
10793,hainan airlines,9,excellent service supplied,beijing to boston very impressed by the excellent service supplied by huang she is smiled and asked what i needed she answered all questions asked we really appreciate her service i enjoy this trip with hainan airlines
13662,level,6,get what you pay for,paris to fort de france level provides cheap long haul fares you can choose from a number of options during booking including baggage and meal options which raises the prices quite a bit after booking there was very little spam and hassle paris orly airport is a bad way to start your holiday since we deliberately did not book any food or drink options we brought plenty of foods and drinks and consuming those on board was not a problem we looked at the food that was pre booked and were surprised how small the portions were apart from that everything aboard the plane is on sale you dont get a pillow blanket or headphone but we were prepared for that crew running through the aisle serving food and drinks was a tad unnerving crew was very strict in enforcing rules ie one passenger stood up right after landing and crew immediately told him this next time they would call the police on him the seat was surprisingly comfortable with lots of leg room however we saw quite a few seats with gigantic entertainment boxes in the leg room entertainment system was free of charge movie choice seemed rather small for a long haul flight internet was available at a hefty price tag in total level is a very clear you get what you pay for airline and that is very little on both sides of the equation
18695,south african airways,8,a very pleasant flight,munich to johannesburghaving read some recent reviews about saa on skytrax i was a bit apprehensive about flying saa i booked economy but put in a bid for an upgrade to business and the offer was accepted business class configuration on the older a330200 aircraft looks a bit dated compared to the product on other airlines and newer aircraft but the seat reclined to a 180 degrees flat seat the bedding was comfortable lavatories were cleanthe cabin crew was very attentive four meals options were available with dessert and cheese selections wine selection from selection of south african vinyardsall meals served on porcellan breakfast is a choice of continental full english or fruit salad and cereals cabin lights were dimmed immediately after meal service so that seats could be reclined for sleeping those who wanted breakfast were woken an hour before landing on schedule arrival in jnb all in all a very pleasant flight even if the aircraft used was beginning to feel its age a bit
17131,royal jordanian airlines,6,food wasnt good,flew rj bkk to hkg last year and now to kul had a terrible checkin agent last time but a better lady now although quite slow boarding procedure was so annoying as monitors showed final call but the boarding hadnt even started could have spent more time in lounge i think i had the same fantastic fa last time she is really great the food wasnt good but the same chablis as last time was flowing with a big smile
656,afriqiyah airways,4,afriqiyah airways customer review,londontripolidakar returning in june much better than charter flights from paris or charters to gambia very few people on all legs of the flight meant that everyone could stretch out over 3 seats fast and efficient checkin i was told i could have taken 40kg but the ticket issued through last minutecom only said 23kg entertainment good western and arabic films interesting documentary and tapes of koran staff responsive but dont fuss laid back will give extra food plenty of drinks food all halal and morereal than that served on western flights but the same on return delay at gatwick but they held all connecting flights in tripoli planes modern and clean staff helpful and responsive in dakar in changing return flight for under 50 good cheap way to get to west africa this is an airline that caters for ordinary people and adequately meets those needs
2683,air nostrum,5,air nostrum customer review,basel via barcelona to granada the flights between basel and barcelona were operated by air nostrum although sadly since theyve stopped flying to basel i think their service is nothing short of amazing first of all on the return we were even given a hot meal this was in economy class and the flight is less than two hours generally the quality of the food is good and the service in economy class is more like what you get in business class on most airlines the flight attendants were very friendly which only made the contrast to the surly unfriendly bunch working for iberia seem even more unfriendly
14540,malindo air,7,good value for money,malacca to penang nice little airline from malaysia the short flight on this atr 72600 wasnt bad no wifi or any entertainment very nice food served there overall good value for money
4437,ana all nippon airways,9,very satisfied with ana,so i just basically did a round trip with ana between washington and tokyo the entire crew are awesome very polite and ready to help the food is extremely delicious and fresh with obviously japanese food focused my only complaints are with the seat and inflight entertainment after a couple of hours sleeping you definitely wake up with pain in your bottom the seating could be a little bit more comfortable the inflight entertainment could have more movies subtitled in english there were just a few subtitled in english but overall speaking im very satisfied with ana services i would definitely fly again with them
6324,bulgaria air,9,bulgaria air customer review,just completed my 4th flight between sofia and frankfurt over a 6 month period how pleasant it is to be sitting in a real business class seat 2 x 2 with room to spread and not having my notebook screen crushed by the seat in front with drinks before takeoff and charming crew all flights without exception have been right on time operated with new a319s i only wish theyd operate the route more frequently so i could use them both ways
21825,virgin america,9,the service was great,virgin america from washington dulles to san francisco the inflight entertainment was good and cabin crew very friendly the seat back monitors allowed you to order drinks right then and there the drinks are free and although the food is not the prices are very reasonable seats are comfortable as for leg room i am only 58 so i dont really have problems with leg room but from the looks of it somebody of average height would have a good amount of leg room the ground crew were nice and the checkin was smooth and fast the only remotely negative things about virgin america are that the remotes are a bit challenging to use just me being picky and that it is more expensive than most airlines for a transcontinental domestic flight with that being said though you get what you pay for and the service was great
16635,qatar airways,9,service was exceptional,the customer service was exceptional from the check in lounge on boarding the staff were very attentive and looked after us throughout the flight the food was good
13574,latam airlines,2,will be avoiding,flying as a family of 4 we purchased tickets from lima to buenos aires with a short layover in santiago leaving on 15th december latam changed our flight times repeatedly changing both the date of departure and the arrival airport leaving us with a 10 hour layover from the early hours which we had to endure sleepless and uncomfortable in santiago we were told we could change the flights if we werent happy but there were none available latam were not interested in the fact they had changed the date of travel had added a long overnight layover in spite of the fact we had originally paid extra to avoid that we were all exhausted upon arrival plus the usual inedible flight food and i will be avoiding this airline in future
1968,air italy,3,i literally was trapped,new york jfk to rome via milan first ticketing counter very inconvenient counter locations at the airport the farthest counter from everything around the corner and hidden behind all other counters that you actually have to ask someone to locate by the way they do not affiliate with air italy first i thought it was just at jfk but to my surprise it was the same setup in rome seems like they picked the cheapest counters at the airport second leg room lets start with tight seats with no leg room they do not meet the standard requirements once the seat in front of me is reclined i literally was trapped and could not get up i could not even close the food tray that was jammed on my lap wanted to reach out to flight attendant for help but obviously couldnt reach out the overhead help button no one walked by for hours until dinner time but even then she was not able to help as if people in economy do not matter at all i understand that they have to treat upper class customers better but they cannot ignore economy class to that level third baggage fee no charge for luggage from us to rome but they hit you with no luggage allowed policy for economy unless you pay 100 euro each as if its not the same bag came on the flight in to rome why charge only one leg of the flight when i refused the pay they referred me to the supervisor who finally showed up after half an hour but was not helpful at all in fact she was extremely rude and pretty much said to us this the way it is whether you like or not
4689,asky airlines,3,the worst experience,while in transit from lome to abuja on the 10th september we boarded the flight as one of the last passengers and traveling as a family we got a bad vibe from a particular staff on the flight that same staff and another staff due to the staff them not focusing on the job at hand she accused us of stealing a mug from the airline and she started causing drama saying all sorts of things in french which we could not understand we asked her to verify but she would not and just went on talking trash this is the worst experience i have ever had while traveling and after my return i hope to never fly with asky again unless an action is taken towards the behavior of their staff
975,air bagan,5,air bagan customer review,took two domestic flights on air bagan one from yangon to bagan and another mandalay to yangon both flights were with atr72 aircraft the interior of this aircraft was very cramped with hardly any leg space the aircraft definitely showed its old age the flight from mandalay to yangon was free seated and flight was completely full the inflight service was nice and they served savoury croissants and cakes with drinks regarding reservations the booking system is fairly tricky also the airline requires the passenger to confirm the flights at least 24 hours before departures yet the 4 phone lines are constantly busy for both flights our hotels repeatedly tried calling to no avail air bagan offers value for money because there is hardly any competitive alternative today
19114,srilankan airlines,1,the hard product was sound,check in at lhr was fine 35 hours prior to departure security quick srilankan dont have their own lounge but was able to use the ba and qantas lounges both were fine easy to get shower in ba lounge the quantas lounge was more spacious flight boarding was fine welcome with usual fare the hard product was sound good chair lie flat movies good and wide selection dinner service bit disorganised but the food chicken curry was good i slept well the big issue with this flight is the very tight connection time 40 mins i expected the worst especially as we had a 20 minute delay they did fine off the london flight and staff directed us to the next flight which waited for us our baggage made it too overall i would use again
18765,southwest airlines,1,dont fly with this airline,i cant fly to chicago for two days due to a rescheduled flight for the first time we got on a plane and everyone just dropped us off and said that you were leaving tomorrow and the next day they promised a direct flight to chicago but again they outplayed everything and changed the flight 34 hours before departure now i need to fly with a transfer to dallas i paid money for this is this an airline or a taxi on call if you are saving your time dont fly with this airline
23041,xl airways france,1,i highly recommend this airline,after flying the 1155 pm xl airways france flight from new york jfk to paris and returning a week later i have to say this was the best airline i have flown it was a new plane seats were tight like all economy flights but i was fairly comfortable staff was very friendly and the flight took off and landed on time both trips the meal was pretty good and they walked around constantly offering free water throughout the flight they had drinks but i was okay with water the movies were in french but i slept so it didnt matter i spent half what i would have on any other flight and it would have been a waste the flight was perfect and i highly recommend this airline
